id,story,users,url
5931942,Die Bombe platzt: Ibiza in Van der Bellens Kalender,115662,https://www.diepresse.com/5931942
5960378,Der Österreich-Lockdown ist (vorerst) abgesagt,109959,https://www.diepresse.com/5960378
5944173,Vorerst keine weiteren Öffnungen in Österreich,104497,https://www.diepresse.com/5944173
5930543,Heute vor 90 Jahren: Österreichs Städte in Not,103917,https://www.diepresse.com/5930543
5933784,Anschober: Die Lockdowns haben sich abgenützt,100376,https://www.diepresse.com/5933784
5961199,"Hans Peter Doskozil: Es ist erbärmlich, was da gerade abgeht",99311,https://www.diepresse.com/5961199
5970469,"Wolfgang Mückstein: Genesen, getestet, geimpft: Das ist nicht gleichwertig",95700,https://www.diepresse.com/5970469
5940011,"Der Forscher, der als Erster warnte: Wollen nicht in diesem Fegefeuer bleiben",95552,https://www.diepresse.com/5940011
5986570,Kanzler Kurz erneut im Fokus der WKStA,92273,https://www.diepresse.com/5986570
5967318,Wolfgang Mückstein: Keiner wie Rudolf Anschober,85095,https://www.diepresse.com/5967318
5975401,Wie Impfverweigerung sanktioniert werden könnte,83135,https://www.diepresse.com/5975401
5931156,"Wie unsere Sprache verrät, dass die Liebe erlischt",82301,https://www.diepresse.com/5931156
6000852,Die ungewöhnliche Beweisführung im Fall Kurz,79521,https://www.diepresse.com/6000852
5936211,Ermittlungen gegen Blümel: Wer ist Kurz?,79447,https://www.diepresse.com/5936211
5975368,"Wer nicht erneut impfen geht, soll Rechte wieder verlieren",78221,https://www.diepresse.com/5975368
5996798,Manche Genesene waren nur auf dem Papier krank,76196,https://www.diepresse.com/5996798
5959764,Virologe: Impfen von 40- bis 50-Jährigen macht mehr Sinn,75271,https://www.diepresse.com/5959764
5963898,Der Fall Anschober: Starke Schwäche?,72389,https://www.diepresse.com/5963898
5946473,Anschober will strenger durchgreifen,70162,https://www.diepresse.com/5946473
5956011,Ostgipfel: Schulen im Visier,67402,https://www.diepresse.com/5956011
5945077,"Mallorca statt Ibiza: Zack, zack zum Staatsanwalt",66522,https://www.diepresse.com/5945077
6000465,Coronapläne: Weitere Lockerungen ab 1. Juli sind fix,64992,https://www.diepresse.com/6000465
5964836,Live ab 9:30 Uhr: Gesundheitsminister Anschober vor Rücktritt,64392,https://www.diepresse.com/5964836
5950742,ÖVP fordert Suspendierung von Spitzenbeamten im Gesundheitsministerium,60581,https://www.diepresse.com/5950742
5980185,»Es geht um die Vernichtung despolitischen Gegners«,58793,https://www.diepresse.com/5980185
5947123,"Rudolf Anschober: Ich war am Montag derjenige, der Bedenken hatte",56776,https://www.diepresse.com/5947123
5946145,HPV-Viren: Man könnte das auch als Pandemie bezeichnen,53550,https://www.diepresse.com/5946145
5950559,Kurz gegen Auer – der nächste Dämpfer für Türkis-Grün,52112,https://www.diepresse.com/5950559
5985168,Schlagabtausch mit Kurz im Parlament: Sie sagen dauernd die Unwahrheit,52081,https://www.diepresse.com/5985168
5991378,Schmid an Blümel: Mitterlehner wird flippen,51410,https://www.diepresse.com/5991378
5972273,Kurz: Bei Blümel werden sich alle entschuldigen müssen,49130,https://www.diepresse.com/5972273
5955074,Live ab 18 Uhr: Regierung präsentiert neue Corona-Maßnahmen,48083,https://www.diepresse.com/5955074
5960425,Ist der Vorarlberger Weg gescheitert?,46449,https://www.diepresse.com/5960425
5931041,Lockdown-Lockerung? Regierung gibt Fahrplan bekannt,45977,https://www.diepresse.com/5931041
5941060,Die Bombe platzt: Als die FPÖ Van der Bellens Kalender vorlegen wollte,42538,https://www.diepresse.com/5941060
6013381,"Wie bitte, Herr Kanzler?: Ex-Rektor widerspricht Kurz",42057,https://www.diepresse.com/6013381
5976714,Grüner Pass: Gesundheitsministerium streicht eCard-Pläne,41957,https://www.diepresse.com/5976714
5938605,Hofer bittet Van der Bellen um Entlassung der Regierung,41372,https://www.diepresse.com/5938605
5952466,Österreich ließ Millionen an Impfdosen liegen,41364,https://www.diepresse.com/5952466
6010552,Ein Koalitionsbruch mit schmerzhaften Folgen,41018,https://www.diepresse.com/6010552
6012484,"Werner Kogler: Das ist eine alte, primitive Masche",40398,https://www.diepresse.com/6012484
5978887,Ermittlungen gegen Kanzler Kurz wegen Falschaussage,40123,https://www.diepresse.com/5978887
5960965,Wieso gibt es im Suezkanal keine Schleusen?,38960,https://www.diepresse.com/5960965
5988055,"Kickl, ohne Netz und ahnungslos",38950,https://www.diepresse.com/5988055
5996512,Türkise: Out of Message Control,38875,https://www.diepresse.com/5996512
5955373,Nach Haimbuchner auch Zweiter Landtagspräsident im Spital,38809,https://www.diepresse.com/5955373
5958204,Von der Staatsholding zur Thomas Schmid AG,37054,https://www.diepresse.com/5958204
